trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.85, 'e': 1.0}",20,0,-77.80382404792378,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.85, 'e': 0.25}",20,0,-87.97536523525967,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.85, 'e': 0.1111111111111111}",25,0,3.7631343145816896,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.85, 'e': 0.0625}",30,0,-16.278133534822324,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.85, 'e': 0.04}",25,0,-35.34673302265002,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.85, 'e': 0.027777777777777776}",35,16,-22.8125292109042,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.85, 'e': 0.02040816326530612}",25,0,34.93838997072729,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.85, 'e': 0.015625}",35,26,-29.43516655724216,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.85, 'e': 0.012345679012345678}",25,10,28.30787784602725,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.85, 'e': 0.01}",25,14,16.408430238658983,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.85, 'e': 0.008264462809917356}",20,5,21.299105635465647,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.85, 'e': 0.006944444444444444}",20,0,-17.383564002029207,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.85, 'e': 0.005917159763313609}",25,0,31.53944106939846,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.85, 'e': 0.00510204081632653}",25,0,-27.714034786276205,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.85, 'e': 0.0044444444444444444}",30,0,5.71055101101595,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.85, 'e': 0.00390625}",20,0,-50.9596184704969,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
17,False,"{'a': 0.85, 'e': 0.0034602076124567475}",20,6,-64.34478284943317,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.85, 'e': 0.0030864197530864196}",25,11,24.309892145722603,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.85, 'e': 0.002770083102493075}",25,5,-15.367676648261067,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",1
20,False,"{'a': 0.85, 'e': 0.0025}",25,0,-11.531375839000109,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.85, 'e': 0.0022675736961451248}",20,0,29.432999159186163,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.85, 'e': 0.002066115702479339}",20,10,7.724294705721131,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.85, 'e': 0.001890359168241966}",25,20,10.244728088241558,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.85, 'e': 0.001736111111111111}",30,11,-15.004756951294599,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
25,False,"{'a': 0.85, 'e': 0.0016}",30,0,24.760633326663864,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.85, 'e': 0.0014792899408284023}",20,0,16.182367381107763,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.85, 'e': 0.0013717421124828531}",20,6,23.767316968126675,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.85, 'e': 0.0012755102040816326}",20,12,-30.21279993892739,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.85, 'e': 0.0011890606420927466}",20,10,19.75091692949562,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.85, 'e': 0.0011111111111111111}",20,15,8.841361177385515,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.85, 'e': 0.001040582726326743}",25,14,20.4370845065641,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
