trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-27,-276.218747225865,"{0: 25, 1: 5, 2: 13, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,15,2.5544702825014918,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,-11,-52.13115428451412,"{0: 29, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-9,-127.5239064355131,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-86,-520.5390081954541,"{0: 57, 1: 22, 2: 25, 3: 2, 4: 5}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-100,-646.4363186372806,"{0: 72, 1: 9, 2: 27, 3: 2, 4: 10}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-21,-247.86275860609473,"{0: 20, 1: 7, 2: 10, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-8,-85.32567290879426,"{0: 21, 1: 6, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-98,-546.4158623729763,"{0: 73, 1: 12, 2: 23, 3: 2, 4: 8}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-88,-575.3515663443374,"{0: 63, 1: 13, 2: 21, 3: 3, 4: 8}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-551.3500992670245,"{0: 70, 1: 20, 2: 19, 3: 4, 4: 7}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-606.9960193748352,"{0: 75, 1: 11, 2: 21, 3: 4, 4: 9}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-76,-476.5263067482368,"{0: 61, 1: 9, 2: 16, 3: 2, 4: 8}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-19,-109.17876985130114,"{0: 30, 1: 4, 2: 9, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-13,-183.74967568031806,"{0: 22, 1: 7, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,-20,-211.59107463694366,"{0: 30, 1: 6, 2: 11, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-469.1785331321019,"{0: 71, 1: 24, 2: 18, 3: 1, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-100,-457.5826052783625,"{0: 73, 1: 13, 2: 28, 3: 1, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-100,-427.2441651286744,"{0: 71, 1: 22, 2: 28, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-100,-561.0520241835981,"{0: 77, 1: 14, 2: 25, 3: 1, 4: 8}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,11,2.5083587189333527,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,-17,-202.1128425882767,"{0: 30, 1: 3, 2: 11, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-16,-161.0501262555002,"{0: 18, 1: 5, 2: 12, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-100,-295.52556597973506,"{0: 84, 1: 10, 2: 21, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-100,-609.5925143683452,"{0: 78, 1: 13, 2: 22, 3: 2, 4: 10}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,-6,-188.3860946234231,"{0: 19, 1: 4, 2: 10, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,11,-92.19883872623109,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,-46,-376.50185159084725,"{0: 39, 1: 11, 2: 15, 3: 1, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,-100,-778.9388596739415,"{0: 65, 1: 20, 2: 26, 3: 3, 4: 11}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-12,-49.87086215852268,"{0: 26, 1: 6, 2: 4, 3: 1, 4: 0}",0
